,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
49304,2013-01-28,28,January,2013,31,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",1,1912,3400,944,1912,2856
49305,2015-01-28,28,January,2015,31,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",1,1912,3400,944,1912,2856
49306,2013-07-22,22,July,2013,31,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",1,1912,3400,944,1912,2856
49307,2015-07-22,22,July,2015,31,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",2,1912,3400,1888,3824,5712
49308,2013-12-25,25,December,2013,31,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",1,1912,3400,944,1912,2856
49309,2015-12-25,25,December,2015,31,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",3,1912,3400,2832,5736,8568
49310,2014-02-13,13,February,2014,31,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",1,1912,3400,944,1912,2856
49311,2016-02-13,13,February,2016,31,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",2,1912,3400,1888,3824,5712
49312,2013-07-04,4,July,2013,32,Young Adults (25-34),M,Australia,Tasmania,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,842,1912,2754
49313,2015-07-04,4,July,2015,32,Young Adults (25-34),M,Australia,Tasmania,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,842,1912,2754
49314,2013-02-07,7,February,2013,32,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,937,1898,2835
49315,2015-02-07,7,February,2015,32,Young Adults (25-34),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 48",3,1898,3375,2811,5694,8505
